ST_CD,MAJCAT,MERCHCAT,CLR,MC_CLR_CONT_1,MC_CLR_CONT_2,MC_CLR_CONT_3,MC_CLR_CONT_4,MC_CLR_CONT_5,MC_CLR_CONT_6,MC_CLR_CONT_7,MC_CLR_CONT_8,MC_CLR_CONT_9,MC_CLR_CONT_10,MC_CLR_CONT_11,MC_CLR_CONT_12
HU49,M_JEANS,M_BLU_JEANS,BL,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HU49,M_JEANS,M_BLU_JEANS,D_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_BLU_JEANS,GRY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU49,M_JEANS,M_COL_JEANS,NV_BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU49,M_JEANS,M_COL_JEANS,OLV,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU49,M_JEANS,M_COL_JEANS,D_GRY,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%
HU49,M_JEANS,M_COL_JEANS,BLK,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HU49,M_JEANS,M_COL_JEANS,D_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU49,M_JEANS,M_COL_JEANS,L_GRY,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
HU49,M_JEANS,M_COL_JEANS,M_BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HU49,M_JEANS,M_COL_JEANS,M_GRY,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HU49,M_JEANS,M_COL_JEANS,BEG,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HU49,M_JEANS,M_COL_JEANS,GRY,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HU49,M_JEANS,M_COL_JEANS,BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU49,M_JEANS,M_COL_JEANS,OL_GRN,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU49,M_JEANS,M_COL_JEANS,PST,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU49,M_JEANS,M_COL_JEANS,S_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_JGR_JEANS,D_BL,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%
HU49,M_JEANS,M_JGR_JEANS,D_GRY,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%
HU49,M_JEANS,M_JGR_JEANS,L_GRY,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HU49,M_JEANS,M_JGR_JEANS,OL_GRN,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU49,M_JEANS,M_JGR_JEANS,M_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_JGR_JEANS,BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU49,M_JEANS,M_JGR_JEANS,BLK,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU49,M_JEANS,M_JGR_JEANS,L_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU49,M_JEANS,M_JGR_JEANS,GRY,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HU49,M_JEANS,M_JGR_JEANS,OLV,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU54,M_JEANS,M_BLK_JEANS,BLK,52%,52%,52%,52%,52%,52%,52%,52%,52%,52%,52%,52%
HU54,M_JEANS,M_BLK_JEANS,D_BL,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HU54,M_JEANS,M_BLK_JEANS,L_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU54,M_JEANS,M_BLK_JEANS,M_BL,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HU54,M_JEANS,M_BLK_JEANS,M_GRY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU54,M_JEANS,M_BLK_JEANS,GRY,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU54,M_JEANS,M_BLK_JEANS,MNT,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU54,M_JEANS,M_BLK_JEANS,L_GRY,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HU54,M_JEANS,M_BLK_JEANS,D_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU54,M_JEANS,M_BLU_JEANS,BLK,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU54,M_JEANS,M_BLU_JEANS,D_BL,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HU54,M_JEANS,M_BLU_JEANS,L_BL,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%
HU54,M_JEANS,M_BLU_JEANS,M_BL,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HU54,M_JEANS,M_BLU_JEANS,M_GRY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU54,M_JEANS,M_BLU_JEANS,S_BL,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HU54,M_JEANS,M_BLU_JEANS,BL,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HU54,M_JEANS,M_BLU_JEANS,D_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU54,M_JEANS,M_BLU_JEANS,NV_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU54,M_JEANS,M_BLU_JEANS,GRY,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HU54,M_JEANS,M_BLU_JEANS,L_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU54,M_JEANS,M_COL_JEANS,NV_BL,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HU54,M_JEANS,M_COL_JEANS,OLV,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU54,M_JEANS,M_COL_JEANS,D_GRY,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
HU54,M_JEANS,M_COL_JEANS,BLK,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HU54,M_JEANS,M_COL_JEANS,D_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU54,M_JEANS,M_COL_JEANS,L_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU54,M_JEANS,M_COL_JEANS,L_GRY,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
HU54,M_JEANS,M_COL_JEANS,M_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU54,M_JEANS,M_COL_JEANS,M_GRY,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HU54,M_JEANS,M_COL_JEANS,BEG,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU54,M_JEANS,M_COL_JEANS,GRY,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HU54,M_JEANS,M_COL_JEANS,BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU54,M_JEANS,M_COL_JEANS,OL_GRN,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HU54,M_JEANS,M_COL_JEANS,PST,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU54,M_JEANS,M_COL_JEANS,S_BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU54,M_JEANS,M_JGR_JEANS,D_BL,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%
HU54,M_JEANS,M_JGR_JEANS,D_GRY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU54,M_JEANS,M_JGR_JEANS,L_GRY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU54,M_JEANS,M_JGR_JEANS,OL_GRN,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%
HU54,M_JEANS,M_JGR_JEANS,BLK,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU54,M_JEANS,M_JGR_JEANS,L_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU54,M_JEANS,M_JGR_JEANS,GRY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU54,M_JEANS,M_JGR_JEANS,NV_BL,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%
HU54,M_JEANS,M_JGR_JEANS,S_BL,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HU55,M_JEANS,M_BLK_JEANS,BLK,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%
HU55,M_JEANS,M_BLK_JEANS,D_BL,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HU55,M_JEANS,M_BLK_JEANS,M_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU55,M_JEANS,M_BLK_JEANS,MNT,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%
HU55,M_JEANS,M_BLK_JEANS,D_GRY,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HU55,M_JEANS,M_BLU_JEANS,BLK,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU55,M_JEANS,M_BLU_JEANS,D_BL,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%
HU55,M_JEANS,M_BLU_JEANS,L_BL,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HU55,M_JEANS,M_BLU_JEANS,M_BL,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%
HU55,M_JEANS,M_BLU_JEANS,M_GRY,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HU55,M_JEANS,M_BLU_JEANS,S_BL,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HU55,M_JEANS,M_BLU_JEANS,BL,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HU55,M_JEANS,M_BLU_JEANS,D_GRY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU55,M_JEANS,M_BLU_JEANS,OL_GRN,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU55,M_JEANS,M_BLU_JEANS,L_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU55,M_JEANS,M_COL_JEANS,NV_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU55,M_JEANS,M_COL_JEANS,OLV,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HU55,M_JEANS,M_COL_JEANS,D_GRY,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HU55,M_JEANS,M_COL_JEANS,BLK,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU55,M_JEANS,M_COL_JEANS,D_BL,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HU55,M_JEANS,M_COL_JEANS,L_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU55,M_JEANS,M_COL_JEANS,L_GRY,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%
HU55,M_JEANS,M_COL_JEANS,M_BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU55,M_JEANS,M_COL_JEANS,M_GRY,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HU55,M_JEANS,M_COL_JEANS,GRY,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HU55,M_JEANS,M_COL_JEANS,BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU55,M_JEANS,M_COL_JEANS,OL_GRN,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU55,M_JEANS,M_COL_JEANS,PST,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU55,M_JEANS,M_JGR_JEANS,D_BL,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%
HU55,M_JEANS,M_JGR_JEANS,D_GRY,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%
HU55,M_JEANS,M_JGR_JEANS,L_GRY,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%
HU55,M_JEANS,M_JGR_JEANS,OL_GRN,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU55,M_JEANS,M_JGR_JEANS,BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU55,M_JEANS,M_JGR_JEANS,BLK,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HU55,M_JEANS,M_JGR_JEANS,NV_BL,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%
HU55,M_JEANS,M_JGR_JEANS,S_BL,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HU57,M_JEANS,M_BLK_JEANS,BLK,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%
HU57,M_JEANS,M_BLK_JEANS,D_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU57,M_JEANS,M_BLK_JEANS,L_BL,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HU57,M_JEANS,M_BLK_JEANS,M_BL,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HU57,M_JEANS,M_BLK_JEANS,M_GRY,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HU57,M_JEANS,M_BLK_JEANS,D_GRY,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HU57,M_JEANS,M_BLU_JEANS,BLK,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU57,M_JEANS,M_BLU_JEANS,D_BL,39%,39%,39%,39%,39%,39%,39%,39%,39%,39%,39%,39%
HU57,M_JEANS,M_BLU_JEANS,L_BL,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HU57,M_JEANS,M_BLU_JEANS,M_BL,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%
HU57,M_JEANS,M_BLU_JEANS,M_GRY,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU57,M_JEANS,M_BLU_JEANS,BL,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%
HU57,M_JEANS,M_BLU_JEANS,NV_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU57,M_JEANS,M_BLU_JEANS,GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU57,M_JEANS,M_BLU_JEANS,L_GRY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU57,M_JEANS,M_BLU_JEANS,GRN,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HU57,M_JEANS,M_COL_JEANS,OLV,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU57,M_JEANS,M_COL_JEANS,D_GRY,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%
HU57,M_JEANS,M_COL_JEANS,BLK,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU57,M_JEANS,M_COL_JEANS,D_BL,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HU57,M_JEANS,M_COL_JEANS,L_GRY,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HU57,M_JEANS,M_COL_JEANS,M_BL,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HU57,M_JEANS,M_COL_JEANS,M_GRY,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HU57,M_JEANS,M_COL_JEANS,GRY,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HU57,M_JEANS,M_COL_JEANS,BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU57,M_JEANS,M_COL_JEANS,OL_GRN,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HU57,M_JEANS,M_COL_JEANS,PST,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU57,M_JEANS,M_JGR_JEANS,D_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU57,M_JEANS,M_JGR_JEANS,D_GRY,44%,44%,44%,44%,44%,44%,44%,44%,44%,44%,44%,44%
HU57,M_JEANS,M_JGR_JEANS,M_BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU57,M_JEANS,M_JGR_JEANS,BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU57,M_JEANS,M_JGR_JEANS,BLK,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU57,M_JEANS,M_JGR_JEANS,S_BL,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%,46%
HU58,M_JEANS,M_BLK_JEANS,BLK,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%
HU58,M_JEANS,M_BLK_JEANS,L_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU58,M_JEANS,M_BLK_JEANS,M_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU58,M_JEANS,M_BLK_JEANS,M_GRY,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU58,M_JEANS,M_BLK_JEANS,GRY,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HU58,M_JEANS,M_BLK_JEANS,D_GRY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU58,M_JEANS,M_BLU_JEANS,BLK,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU58,M_JEANS,M_BLU_JEANS,D_BL,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%,34%
HU58,M_JEANS,M_BLU_JEANS,L_BL,26%,26%,26%,26%,26%,26%,26%,26%,26%,26%,26%,26%
HU58,M_JEANS,M_BLU_JEANS,M_BL,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HU58,M_JEANS,M_BLU_JEANS,S_BL,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HU58,M_JEANS,M_BLU_JEANS,BL,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HU58,M_JEANS,M_BLU_JEANS,D_GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU58,M_JEANS,M_BLU_JEANS,GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU58,M_JEANS,M_BLU_JEANS,L_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU58,M_JEANS,M_COL_JEANS,OLV,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU58,M_JEANS,M_COL_JEANS,D_GRY,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HU58,M_JEANS,M_COL_JEANS,BLK,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HU58,M_JEANS,M_COL_JEANS,D_BL,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HU58,M_JEANS,M_COL_JEANS,L_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU58,M_JEANS,M_COL_JEANS,L_GRY,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HU58,M_JEANS,M_COL_JEANS,M_BL,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HU58,M_JEANS,M_COL_JEANS,M_GRY,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HU58,M_JEANS,M_COL_JEANS,BEG,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU58,M_JEANS,M_COL_JEANS,GRY,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HU58,M_JEANS,M_COL_JEANS,BL,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HU58,M_JEANS,M_COL_JEANS,OL_GRN,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU58,M_JEANS,M_JGR_JEANS,D_BL,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%
HU58,M_JEANS,M_JGR_JEANS,D_GRY,47%,47%,47%,47%,47%,47%,47%,47%,47%,47%,47%,47%
HU58,M_JEANS,M_JGR_JEANS,L_GRY,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HU58,M_JEANS,M_JGR_JEANS,BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU58,M_JEANS,M_JGR_JEANS,BLK,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU58,M_JEANS,M_JGR_JEANS,GRY,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HU59,M_JEANS,M_BLK_JEANS,BLK,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%
HU59,M_JEANS,M_BLK_JEANS,L_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU59,M_JEANS,M_BLK_JEANS,M_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU59,M_JEANS,M_BLK_JEANS,L_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU59,M_JEANS,M_BLK_JEANS,D_GRY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU59,M_JEANS,M_BLK_JEANS,BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU59,M_JEANS,M_BLU_JEANS,BLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU59,M_JEANS,M_BLU_JEANS,D_BL,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HU59,M_JEANS,M_BLU_JEANS,L_BL,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%
HU59,M_JEANS,M_BLU_JEANS,M_BL,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%
HU59,M_JEANS,M_BLU_JEANS,M_GRY,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HU59,M_JEANS,M_BLU_JEANS,S_BL,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HU59,M_JEANS,M_BLU_JEANS,BL,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU59,M_JEANS,M_BLU_JEANS,D_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU59,M_JEANS,M_BLU_JEANS,GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU59,M_JEANS,M_BLU_JEANS,L_GRY,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HU59,M_JEANS,M_COL_JEANS,NV_BL,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU59,M_JEANS,M_COL_JEANS,OLV,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU59,M_JEANS,M_COL_JEANS,D_GRY,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%,31%
HU59,M_JEANS,M_COL_JEANS,BLK,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HU59,M_JEANS,M_COL_JEANS,D_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU59,M_JEANS,M_COL_JEANS,L_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU59,M_JEANS,M_COL_JEANS,L_GRY,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU59,M_JEANS,M_COL_JEANS,M_BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU59,M_JEANS,M_COL_JEANS,M_GRY,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HU59,M_JEANS,M_COL_JEANS,BEG,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HU59,M_JEANS,M_COL_JEANS,GRY,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%
HU59,M_JEANS,M_COL_JEANS,BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU59,M_JEANS,M_COL_JEANS,OL_GRN,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU59,M_JEANS,M_COL_JEANS,PST,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HU59,M_JEANS,M_JGR_JEANS,D_BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU59,M_JEANS,M_JGR_JEANS,D_GRY,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%
HU59,M_JEANS,M_JGR_JEANS,L_GRY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU59,M_JEANS,M_JGR_JEANS,M_GRY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU59,M_JEANS,M_JGR_JEANS,BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU59,M_JEANS,M_JGR_JEANS,BLK,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU59,M_JEANS,M_JGR_JEANS,GRY,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HU59,M_JEANS,M_JGR_JEANS,S_BL,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%
HU61,M_JEANS,M_BLK_JEANS,BLK,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%
HU61,M_JEANS,M_BLK_JEANS,D_BL,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HU61,M_JEANS,M_BLK_JEANS,L_BL,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HU61,M_JEANS,M_BLK_JEANS,M_BL,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HU61,M_JEANS,M_BLK_JEANS,M_GRY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HU61,M_JEANS,M_BLK_JEANS,GRY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU61,M_JEANS,M_BLK_JEANS,D_GRY,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HU61,M_JEANS,M_BLK_JEANS,NV_BL,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HU61,M_JEANS,M_BLU_JEANS,BLK,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
